fixture	exit	output_bytes	sha256	result
prose	0	100144	c8dbaf820a15d4d2d198b574a3149306f72e1dff7669d8ab599f86d28eb06083	wav
numbers	0	91314	f27e6879bf25f5b3a02fce8e4efd981287497ffe701e07b1ddf202125414d71a	wav
address	0	104326	a6114ff8c22965241d77845d7ba98e9e9d859d43694124d84a4dd07bf67163c8	wav
