fixture	exit	output_bytes	sha256	result
prose	0	68340	be9b43423d56e87030cc973090769b5fbd720e145a25e7ad9f0308237a7e8b6a	wav
numbers	0	75336	3a8ae67b1d26c97cbaceefee94749a1e20569b40358df9a6fd54920cfad5c676	wav
address	0	87746	01e6f81bd952171330141c227be3cac1ab43ef9d60ac041a53206dc7fe424129	wav
