fixture	exit	output_bytes	sha256	result
prose	0	75882	f74b95f834cc23f2fb390fd6e4b882386d6db60ecff87d35841e463705f3f69a	wav
numbers	0	72584	7ecbcc62d39b36c781bb9146fbf8c467f623ea6908cba6911b78cba937f06222	wav
address	0	88774	1a638f315b83ffda9827b78a1feb783d1915ad8cd2b6d0f4b444be987de25f2e	wav
