fixture	exit	output_bytes	sha256	result
prose	0	100144	c8dbaf820a15d4d2d198b574a3149306f72e1dff7669d8ab599f86d28eb06083	wav
numbers	0	91314	f27e6879bf25f5b3a02fce8e4efd981287497ffe701e07b1ddf202125414d71a	wav
address	0	103840	5f0caa43e601cc2fc3680055a314525404b785917cf55121091a42509e56bf25	wav
