fixture	exit	output_bytes	sha256	result
prose	0	73108	c4daeac316906032a4e92c6a082f7a571ad8b1069538b50a3cfc65b477250adb	wav
numbers	0	77602	27947c0263ccc718c81448f639f730f1a391d63d3277630e93465d4e079b16d4	wav
address	0	79314	beb8601a56803fe2733b03318e8fdcc6461a857324072ca1f6425c32e243afa5	wav
