fixture	exit	output_bytes	sha256	result
prose	0	98042	52e2ed9861c6b9dacf9352a956a86fbdabd4d0e72480e30ec219bf95d7c9ecb0	wav
numbers	0	86216	1e72eff14d5dc3d6b24879daf6b2db6c609e28222ace20bd5d7bd658364b8682	wav
address	0	103050	372f12c766d17cd41079ab371fbec7901134b7fcc5c60badeea8898e650188f3	wav
