fixture	exit	output_bytes	sha256	result
prose	0	98042	52e2ed9861c6b9dacf9352a956a86fbdabd4d0e72480e30ec219bf95d7c9ecb0	wav
numbers	0	87782	49dd080e79a66c12e1c27e942ac4dbb81ecece070700e756e81b2551228a02db	wav
address	0	103050	372f12c766d17cd41079ab371fbec7901134b7fcc5c60badeea8898e650188f3	wav
