 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688d3 [unknown] (/samples/vt_pau.dll) =>         100688f3 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f7 [unknown] (/samples/vt_pau.dll) =>         7bba4020 [unknown] (/usr/lib/i386-linux-gnu/wine/i386-windows/kernel32.dll)
 voicetext_paul.  112937 [006] 42891.639922:          1  branches:u:          10067967 [unknown] (/samples/vt_pau.dll) =>         1006796f [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639922:          1  branches:u:          10067971 [unknown] (/samples/vt_pau.dll) =>         10067983 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639922:          1  branches:u:          10067990 [unknown] (/samples/vt_pau.dll) =>                0 [unknown] ([unknown])
 voicetext_paul.  112937 [006] 42891.639923:          1  branches:u:          10067967 [unknown] (/samples/vt_pau.dll) =>         1006796f [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639923:          1  branches:u:          10067971 [unknown] (/samples/vt_pau.dll) =>         10067983 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639923:          1  branches:u:          10067990 [unknown] (/samples/vt_pau.dll) =>         7bd6a030 [unknown] (/usr/lib/i386-linux-gnu/wine/i386-windows/ntdll.dll)
 voicetext_paul.  112937 [006] 42891.639981:          1  branches:u:          1006888e [unknown] (/samples/vt_pau.dll) =>         10068892 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639981:          1  branches:u:          10068895 [unknown] (/samples/vt_pau.dll) =>         10068884 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639981:          1  branches:u:          10068890 [unknown] (/samples/vt_pau.dll) =>         10067ea5 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639981:          1  branches:u:          10067eb7 [unknown] (/samples/vt_pau.dll) =>         10067ebf [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639984:          1  branches:u:          100272b9 [unknown] (/samples/vt_pau.dll) =>                0 [unknown] ([unknown])
 voicetext_paul.  112937 [006] 42891.639986:          1  branches:u:          10027276 [unknown] (/samples/vt_pau.dll) =>                0 [unknown] ([unknown])
 voicetext_paul.  112937 [006] 42891.639987:          1  branches:u:          100272b9 [unknown] (/samples/vt_pau.dll) =>         1006521c [unknown] (/samples/vt_pau.dll)
